event_id,timestamp,camera_id,track_id,violation_type,severity,confidence,duration_sec,zone_id,bbox_person,bbox_ppe,snapshot_path,clip_path
1770245438_cam_1_2_IN_DANGER_ZONE,1770245438.8455944,cam_1,2,IN_DANGER_ZONE,HIGH,0.7891072630882263,1.0405750274658203,zone_1,"(139.4522247314453, 169.05848693847656, 277.850341796875, 446.1919860839844)",None,output\snapshots\1770245438_cam_1_2_IN_DANGER_ZONE.jpg,output\clips\1770245438_cam_1_2_IN_DANGER_ZONE.mp4
1770245439_cam_1_1_NO_HELMET,1770245439.822229,cam_1,1,NO_HELMET,MEDIUM,0.874542772769928,2.017209529876709,,"(281.78387451171875, 231.5348358154297, 403.8058776855469, 477.2158203125)",None,output\snapshots\1770245439_cam_1_1_NO_HELMET.jpg,output\clips\1770245439_cam_1_1_NO_HELMET.mp4
1770245439_cam_1_1_NO_VEST,1770245439.8769395,cam_1,1,NO_VEST,MEDIUM,0.874542772769928,2.017209529876709,,"(281.78387451171875, 231.5348358154297, 403.8058776855469, 477.2158203125)",None,output\snapshots\1770245439_cam_1_1_NO_VEST.jpg,output\clips\1770245439_cam_1_1_NO_VEST.mp4
1770245439_cam_1_2_NO_HELMET,1770245439.9289966,cam_1,2,NO_HELMET,MEDIUM,0.772927463054657,2.1239771842956543,zone_1,"(147.15585327148438, 168.13772583007812, 306.5887451171875, 449.4323425292969)",None,output\snapshots\1770245439_cam_1_2_NO_HELMET.jpg,output\clips\1770245439_cam_1_2_NO_HELMET.mp4
1770245439_cam_1_2_NO_VEST,1770245439.9809902,cam_1,2,NO_VEST,MEDIUM,0.772927463054657,2.1239771842956543,zone_1,"(147.15585327148438, 168.13772583007812, 306.5887451171875, 449.4323425292969)",None,output\snapshots\1770245439_cam_1_2_NO_VEST.jpg,output\clips\1770245439_cam_1_2_NO_VEST.mp4
1770245440_cam_1_5_NO_HELMET,1770245440.9481034,cam_1,5,NO_HELMET,MEDIUM,0.42132776975631714,2.633629560470581,,"(262.2437438964844, 91.817138671875, 320.8403625488281, 160.15377807617188)",None,output\snapshots\1770245440_cam_1_5_NO_HELMET.jpg,output\clips\1770245440_cam_1_5_NO_HELMET.mp4
1770245441_cam_1_5_NO_VEST,1770245441.0173237,cam_1,5,NO_VEST,MEDIUM,0.42132776975631714,2.633629560470581,,"(262.2437438964844, 91.817138671875, 320.8403625488281, 160.15377807617188)",None,output\snapshots\1770245441_cam_1_5_NO_VEST.jpg,output\clips\1770245441_cam_1_5_NO_VEST.mp4
1770245443_cam_1_2_IN_DANGER_ZONE,1770245443.854061,cam_1,2,IN_DANGER_ZONE,HIGH,0.7873293161392212,6.049041509628296,zone_1,"(126.4708023071289, 182.25051879882812, 253.02757263183594, 443.1646728515625)",None,output\snapshots\1770245443_cam_1_2_IN_DANGER_ZONE.jpg,output\clips\1770245443_cam_1_2_IN_DANGER_ZONE.mp4
1770245450_cam_1_15_NO_HELMET,1770245450.8181145,cam_1,15,NO_HELMET,MEDIUM,0.6013461351394653,2.0407707691192627,zone_1,"(388.9096374511719, 148.29708862304688, 496.0551452636719, 428.1239318847656)",None,output\snapshots\1770245450_cam_1_15_NO_HELMET.jpg,output\clips\1770245450_cam_1_15_NO_HELMET.mp4
1770245450_cam_1_15_NO_VEST,1770245450.8920307,cam_1,15,NO_VEST,MEDIUM,0.6013461351394653,2.0407707691192627,zone_1,"(388.9096374511719, 148.29708862304688, 496.0551452636719, 428.1239318847656)",None,output\snapshots\1770245450_cam_1_15_NO_VEST.jpg,output\clips\1770245450_cam_1_15_NO_VEST.mp4
1770245450_cam_1_5_NO_HELMET,1770245450.966171,cam_1,5,NO_HELMET,MEDIUM,0.5152642726898193,12.651697158813477,,"(263.9185485839844, 78.58940887451172, 329.0669860839844, 156.74449157714844)",None,output\snapshots\1770245450_cam_1_5_NO_HELMET.jpg,output\clips\1770245450_cam_1_5_NO_HELMET.mp4
1770245451_cam_1_5_NO_VEST,1770245451.0389261,cam_1,5,NO_VEST,MEDIUM,0.5152642726898193,12.651697158813477,,"(263.9185485839844, 78.58940887451172, 329.0669860839844, 156.74449157714844)",None,output\snapshots\1770245451_cam_1_5_NO_VEST.jpg,output\clips\1770245451_cam_1_5_NO_VEST.mp4
1770245451_cam_1_15_IN_DANGER_ZONE,1770245451.142422,cam_1,15,IN_DANGER_ZONE,HIGH,0.6039552092552185,1.1622679233551025,zone_1,"(389.10968017578125, 148.24603271484375, 496.9342346191406, 428.0401306152344)",None,output\snapshots\1770245451_cam_1_15_IN_DANGER_ZONE.jpg,output\clips\1770245451_cam_1_15_IN_DANGER_ZONE.mp4
1770245453_cam_1_18_NO_HELMET,1770245453.1981518,cam_1,18,NO_HELMET,MEDIUM,0.6882264614105225,2.096994638442993,,"(191.42601013183594, 204.60899353027344, 339.28875732421875, 479.59490966796875)",None,output\snapshots\1770245453_cam_1_18_NO_HELMET.jpg,output\clips\1770245453_cam_1_18_NO_HELMET.mp4
1770245453_cam_1_18_NO_VEST,1770245453.2700236,cam_1,18,NO_VEST,MEDIUM,0.6882264614105225,2.096994638442993,,"(191.42601013183594, 204.60899353027344, 339.28875732421875, 479.59490966796875)",None,output\snapshots\1770245453_cam_1_18_NO_VEST.jpg,output\clips\1770245453_cam_1_18_NO_VEST.mp4
1770245460_cam_1_23_NO_HELMET,1770245460.8478937,cam_1,23,NO_HELMET,MEDIUM,0.48349884152412415,2.283785343170166,,"(662.4486083984375, 28.489688873291016, 721.8618774414062, 179.60423278808594)",None,output\snapshots\1770245460_cam_1_23_NO_HELMET.jpg,output\clips\1770245460_cam_1_23_NO_HELMET.mp4
1770245460_cam_1_23_NO_VEST,1770245460.919535,cam_1,23,NO_VEST,MEDIUM,0.48349884152412415,2.283785343170166,,"(662.4486083984375, 28.489688873291016, 721.8618774414062, 179.60423278808594)",None,output\snapshots\1770245460_cam_1_23_NO_VEST.jpg,output\clips\1770245460_cam_1_23_NO_VEST.mp4
1770245463_cam_1_25_IN_DANGER_ZONE,1770245463.8403542,cam_1,25,IN_DANGER_ZONE,HIGH,0.7730174660682678,1.091202735900879,zone_1,"(150.80064392089844, 164.10552978515625, 268.192138671875, 408.87945556640625)",None,output\snapshots\1770245463_cam_1_25_IN_DANGER_ZONE.jpg,output\clips\1770245463_cam_1_25_IN_DANGER_ZONE.mp4
1770245464_cam_1_25_NO_HELMET,1770245464.595622,cam_1,25,NO_HELMET,MEDIUM,0.38448402285575867,2.160841703414917,zone_1,"(152.15072631835938, 165.02992248535156, 270.3909606933594, 407.9211120605469)",None,output\snapshots\1770245464_cam_1_25_NO_HELMET.jpg,output\clips\1770245464_cam_1_25_NO_HELMET.mp4
1770245464_cam_1_25_NO_VEST,1770245464.6690114,cam_1,25,NO_VEST,MEDIUM,0.38448402285575867,2.160841703414917,zone_1,"(152.15072631835938, 165.02992248535156, 270.3909606933594, 407.9211120605469)",None,output\snapshots\1770245464_cam_1_25_NO_VEST.jpg,output\clips\1770245464_cam_1_25_NO_VEST.mp4
1770245466_cam_1_30_NO_HELMET,1770245466.5099492,cam_1,30,NO_HELMET,MEDIUM,0.6969048976898193,2.0197248458862305,,"(253.4221954345703, 42.39277648925781, 324.111572265625, 157.4584503173828)",None,output\snapshots\1770245466_cam_1_30_NO_HELMET.jpg,output\clips\1770245466_cam_1_30_NO_HELMET.mp4
1770245466_cam_1_30_NO_VEST,1770245466.577341,cam_1,30,NO_VEST,MEDIUM,0.6969048976898193,2.0197248458862305,,"(253.4221954345703, 42.39277648925781, 324.111572265625, 157.4584503173828)",None,output\snapshots\1770245466_cam_1_30_NO_VEST.jpg,output\clips\1770245466_cam_1_30_NO_VEST.mp4
1770245468_cam_1_25_IN_DANGER_ZONE,1770245468.8743281,cam_1,25,IN_DANGER_ZONE,HIGH,0.8601246476173401,6.125176668167114,zone_1,"(184.513427734375, 148.40939331054688, 275.26763916015625, 409.2384948730469)",None,output\snapshots\1770245468_cam_1_25_IN_DANGER_ZONE.jpg,output\clips\1770245468_cam_1_25_IN_DANGER_ZONE.mp4
1770245470_cam_1_32_NO_HELMET,1770245470.6173878,cam_1,32,NO_HELMET,MEDIUM,0.4521026909351349,2.396946907043457,,"(684.3900146484375, 53.15475845336914, 815.6726684570312, 156.69776916503906)",None,output\snapshots\1770245470_cam_1_32_NO_HELMET.jpg,output\clips\1770245470_cam_1_32_NO_HELMET.mp4
1770245470_cam_1_32_NO_VEST,1770245470.6871247,cam_1,32,NO_VEST,MEDIUM,0.4521026909351349,2.396946907043457,,"(684.3900146484375, 53.15475845336914, 815.6726684570312, 156.69776916503906)",None,output\snapshots\1770245470_cam_1_32_NO_VEST.jpg,output\clips\1770245470_cam_1_32_NO_VEST.mp4
1770245471_cam_1_23_NO_HELMET,1770245471.5994651,cam_1,23,NO_HELMET,MEDIUM,0.48910507559776306,13.035356760025024,,"(683.0709838867188, 61.127655029296875, 814.8325805664062, 246.62042236328125)",None,output\snapshots\1770245471_cam_1_23_NO_HELMET.jpg,output\clips\1770245471_cam_1_23_NO_HELMET.mp4
1770245471_cam_1_23_NO_VEST,1770245471.6668808,cam_1,23,NO_VEST,MEDIUM,0.48910507559776306,13.035356760025024,,"(683.0709838867188, 61.127655029296875, 814.8325805664062, 246.62042236328125)",None,output\snapshots\1770245471_cam_1_23_NO_VEST.jpg,output\clips\1770245471_cam_1_23_NO_VEST.mp4
1770245474_cam_1_25_IN_DANGER_ZONE,1770245474.3661704,cam_1,25,IN_DANGER_ZONE,HIGH,0.6379165649414062,11.617018938064575,zone_1,"(155.2522735595703, 167.99658203125, 274.1160583496094, 409.9679260253906)",None,output\snapshots\1770245474_cam_1_25_IN_DANGER_ZONE.jpg,output\clips\1770245474_cam_1_25_IN_DANGER_ZONE.mp4
1770245474_cam_1_25_NO_HELMET,1770245474.6989133,cam_1,25,NO_HELMET,MEDIUM,0.3759344220161438,12.264132976531982,zone_1,"(156.40988159179688, 188.96176147460938, 273.73358154296875, 408.8765563964844)",None,output\snapshots\1770245474_cam_1_25_NO_HELMET.jpg,output\clips\1770245474_cam_1_25_NO_HELMET.mp4
1770245474_cam_1_25_NO_VEST,1770245474.7688735,cam_1,25,NO_VEST,MEDIUM,0.3759344220161438,12.264132976531982,zone_1,"(156.40988159179688, 188.96176147460938, 273.73358154296875, 408.8765563964844)",None,output\snapshots\1770245474_cam_1_25_NO_VEST.jpg,output\clips\1770245474_cam_1_25_NO_VEST.mp4
1770245477_cam_1_33_NO_HELMET,1770245477.7118587,cam_1,33,NO_HELMET,MEDIUM,0.42231255769729614,2.0713627338409424,,"(683.1810302734375, 134.04104614257812, 853.552978515625, 355.8385925292969)",None,output\snapshots\1770245477_cam_1_33_NO_HELMET.jpg,output\clips\1770245477_cam_1_33_NO_HELMET.mp4
1770245477_cam_1_33_NO_VEST,1770245477.780854,cam_1,33,NO_VEST,MEDIUM,0.42231255769729614,2.0713627338409424,,"(683.1810302734375, 134.04104614257812, 853.552978515625, 355.8385925292969)",None,output\snapshots\1770245477_cam_1_33_NO_VEST.jpg,output\clips\1770245477_cam_1_33_NO_VEST.mp4
1770245479_cam_1_25_IN_DANGER_ZONE,1770245479.4249558,cam_1,25,IN_DANGER_ZONE,HIGH,0.6310157775878906,16.675804376602173,zone_1,"(149.95199584960938, 173.1978302001953, 273.2935485839844, 427.8382568359375)",None,output\snapshots\1770245479_cam_1_25_IN_DANGER_ZONE.jpg,output\clips\1770245479_cam_1_25_IN_DANGER_ZONE.mp4
1770245480_cam_1_34_NO_HELMET,1770245480.3160503,cam_1,34,NO_HELMET,MEDIUM,0.3560672998428345,2.220155715942383,,"(338.265380859375, 46.37354278564453, 387.2243957519531, 166.81390380859375)",None,output\snapshots\1770245480_cam_1_34_NO_HELMET.jpg,output\clips\1770245480_cam_1_34_NO_HELMET.mp4
1770245480_cam_1_34_NO_VEST,1770245480.3816187,cam_1,34,NO_VEST,MEDIUM,0.3560672998428345,2.220155715942383,,"(338.265380859375, 46.37354278564453, 387.2243957519531, 166.81390380859375)",None,output\snapshots\1770245480_cam_1_34_NO_VEST.jpg,output\clips\1770245480_cam_1_34_NO_VEST.mp4
1770245480_cam_1_32_NO_HELMET,1770245480.721065,cam_1,32,NO_HELMET,MEDIUM,0.735632061958313,12.502268552780151,,"(757.936767578125, 51.46231460571289, 827.2642822265625, 179.47610473632812)",None,output\snapshots\1770245480_cam_1_32_NO_HELMET.jpg,output\clips\1770245480_cam_1_32_NO_HELMET.mp4
1770245480_cam_1_32_NO_VEST,1770245480.7931232,cam_1,32,NO_VEST,MEDIUM,0.735632061958313,12.502268552780151,,"(757.936767578125, 51.46231460571289, 827.2642822265625, 179.47610473632812)",None,output\snapshots\1770245480_cam_1_32_NO_VEST.jpg,output\clips\1770245480_cam_1_32_NO_VEST.mp4
1770245484_cam_1_25_IN_DANGER_ZONE,1770245484.4723444,cam_1,25,IN_DANGER_ZONE,HIGH,0.8460131883621216,21.723192930221558,zone_1,"(167.14805603027344, 158.0722198486328, 286.19378662109375, 405.6993713378906)",None,output\snapshots\1770245484_cam_1_25_IN_DANGER_ZONE.jpg,output\clips\1770245484_cam_1_25_IN_DANGER_ZONE.mp4
1770245484_cam_1_25_NO_HELMET,1770245484.7950568,cam_1,25,NO_HELMET,MEDIUM,0.8525794744491577,22.360276460647583,zone_1,"(169.83941650390625, 155.4187774658203, 284.4626159667969, 405.40155029296875)",None,output\snapshots\1770245484_cam_1_25_NO_HELMET.jpg,output\clips\1770245484_cam_1_25_NO_HELMET.mp4
1770245484_cam_1_25_NO_VEST,1770245484.867827,cam_1,25,NO_VEST,MEDIUM,0.8525794744491577,22.360276460647583,zone_1,"(169.83941650390625, 155.4187774658203, 284.4626159667969, 405.40155029296875)",None,output\snapshots\1770245484_cam_1_25_NO_VEST.jpg,output\clips\1770245484_cam_1_25_NO_VEST.mp4
1770245485_cam_1_35_NO_HELMET,1770245485.414478,cam_1,35,NO_HELMET,MEDIUM,0.70702064037323,2.0129666328430176,zone_1,"(90.950927734375, 115.69245147705078, 185.4948272705078, 317.0219421386719)",None,output\snapshots\1770245485_cam_1_35_NO_HELMET.jpg,output\clips\1770245485_cam_1_35_NO_HELMET.mp4
